Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Red,13-20,20,1,-,Record to support submission of GeneRIFs for a gene not in Gene (Platypus anatinus; duck-billed platypus; duckbill platypus; platypus).,other,Animal
Red,13-20,15,1,6,"opsin 1 (cone pigments), long-wave-sensitive",protein-coding,Animal
Red,13-20,20,1,6,"opsin 1, short wavelength sensitive 2",protein-coding,Animal
Red,21-28,25,1,X1,rhodopsin,protein-coding,Animal
Yellow,21-28,26,0,1,adhesion G protein-coupled receptor B3,protein-coding,Animal
Yellow,21-28,23,0,1,retinol binding protein 1,protein-coding,Animal
Yellow,21-28,26,1,1,lipin 1,protein-coding,Animal
Yellow,21-28,21,1,10,peptidylglycine alpha-amidating monooxygenase,protein-coding,Animal
Yellow,13-20,19,1,12,F-box protein 8,protein-coding,Animal
Red,13-20,15,1,X2,CDC like kinase 4,protein-coding,Animal
Red,13-20,14,0,2,intraflagellar transport 81,protein-coding,Animal
Red,21-28,21,1,2,"RB binding protein 6, ubiquitin ligase",protein-coding,Animal
Yellow,13-20,18,1,2,myocardin related transcription factor B,protein-coding,Animal
Yellow,21-28,27,1,2,periphilin 1,protein-coding,Animal
Yellow,21-28,26,1,3,neuron navigator 2,protein-coding,Animal
Yellow,21-28,26,1,3,follicle stimulating hormone subunit beta,protein-coding,Animal
Yellow,13-20,18,1,3,SMAD family member 2,protein-coding,Animal
Red,21-28,27,1,2,zinc finger and BTB domain containing 2,protein-coding,Animal
Yellow,13-20,17,1,2,"aldolase, fructose-bisphosphate A",protein-coding,Animal
Yellow,21-28,28,1,4,"myomaker, myoblast fusion factor",protein-coding,Animal
Yellow,13-20,14,0,4,mitochondrial transcription termination factor 3,protein-coding,Animal
Green,13-20,15,0,4,syntaxin binding protein 3,protein-coding,Animal
Yellow,21-28,22,0,4,LIM domain binding 2,protein-coding,Animal
Green,21-28,24,0,5,dual specificity phosphatase 26,protein-coding,Animal
Yellow,21-28,21,1,6,wiskott-Aldrich syndrome protein family member 3-like,protein-coding,Animal
Yellow,21-28,24,1,7,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2,protein-coding,Animal
Yellow,21-28,23,1,7,aquaporin 4,protein-coding,Animal
Yellow,13-20,20,1,-,vomeronasal 1 receptor ornAnaV1R-ps3889 pseudogene,pseudo,Animal
Red,13-20,18,1,5,"spectrin beta, non-erythrocytic 4",protein-coding,Animal
Yellow,13-20,20,1,11,membrane frizzled-related protein,protein-coding,Animal
Yellow,21-28,25,1,4,carboxypeptidase Z,protein-coding,Animal
Red,21-28,21,0,X1,solute carrier family 12 member 4,protein-coding,Animal
Yellow,13-20,16,1,1,iodothyronine deiodinase 2,protein-coding,Animal
Yellow,13-20,16,0,4,hyaluronan synthase 2,protein-coding,Animal
Yellow,21-28,26,1,2,ribonucleotide reductase catalytic subunit M1,protein-coding,Animal
Yellow,13-20,13,1,11,sterol-C5-desaturase,protein-coding,Animal
Yellow,21-28,26,1,7,colony stimulating factor 1,protein-coding,Animal
Yellow,21-28,23,1,X1,ariadne RBR E3 ubiquitin protein ligase 2,protein-coding,Animal
Green,21-28,25,1,19,general transcription factor IIIC subunit 6,protein-coding,Animal
Red,21-28,22,0,8,proteasome 20S subunit alpha 7,protein-coding,Animal
Red,21-28,21,1,1,fibronectin leucine rich transmembrane protein 2,protein-coding,Animal
Green,21-28,21,1,1,thyroid hormone receptor interactor 12,protein-coding,Animal
Yellow,21-28,21,1,6,TSC22 domain family member 3,protein-coding,Animal
Green,05-Dec,8,1,21,LRR binding FLII interacting protein 2,protein-coding,Animal
Yellow,21-28,22,1,7,sortilin 1,protein-coding,Animal
Yellow,21-28,25,1,14,apoptotic peptidase activating factor 1,protein-coding,Animal
Green,05-Dec,11,1,3,membrane-spanning 4-domains subfamily A member 8-like,protein-coding,Animal
Yellow,13-20,16,1,4,RUNX1 partner transcriptional co-repressor 1,protein-coding,Animal
Yellow,05-Dec,10,1,6,dynamin-1-like protein,protein-coding,Animal
Green,21-28,25,1,10,heterogeneous nuclear ribonucleoprotein D,protein-coding,Animal
Yellow,21-28,23,0,11,CCAAT enhancer binding protein gamma,protein-coding,Animal
Yellow,21-28,27,1,4,tRNA methyltransferase 44 homolog,protein-coding,Animal
Green,21-28,25,1,X5,chloride intracellular channel 1,protein-coding,Animal
Red,21-28,28,1,X1,angiopoietin 2,protein-coding,Animal
Yellow,13-20,17,1,X1,EBF transcription factor 1,protein-coding,Animal
Green,13-20,18,1,X1,vestigial like family member 4,protein-coding,Animal
Green,13-20,19,1,X5,transient receptor potential cation channel subfamily M member 3,protein-coding,Animal
Yellow,21-28,21,1,X5,spermatogenesis associated 6 like,protein-coding,Animal
Green,13-20,16,1,X5,leucine rich repeat and Ig domain containing 2,protein-coding,Animal
Yellow,21-28,27,1,1,growth regulating estrogen receptor binding 1,protein-coding,Animal
Yellow,13-20,19,1,10,macrophage immunometabolism regulator,protein-coding,Animal
Red,21-28,25,1,12,WD repeat domain 17,protein-coding,Animal
Red,21-28,26,1,X2,mitogen-activated protein kinase 9,protein-coding,Animal
Yellow,13-20,14,1,2,ribosomal protein L6,protein-coding,Animal
Green,13-20,17,1,2,chromosome 2 C7orf26 homolog,protein-coding,Animal
Red,13-20,19,0,2,epithelial membrane protein 2,protein-coding,Animal
Red,13-20,20,1,3,ADP ribosylation factor like GTPase 14 effector protein,protein-coding,Animal
Yellow,21-28,28,1,3,protein inhibitor of activated STAT 2,protein-coding,Animal
Red,21-28,28,1,3,protein kinase cGMP-dependent 1,protein-coding,Animal
Red,05-Dec,5,1,4,vav guanine nucleotide exchange factor 2,protein-coding,Animal
Green,05-Dec,10,1,4,NADH:ubiquinone oxidoreductase complex assembly factor 6,protein-coding,Animal
Green,13-20,14,0,4,AKNA domain containing 1,protein-coding,Animal
Yellow,21-28,26,0,4,biorientation of chromosomes in cell division 1 like 1,protein-coding,Animal
Yellow,21-28,24,1,5,leucine zipper tumor suppressor 1,protein-coding,Animal
Red,05-Dec,8,1,6,"ring finger protein, LIM domain interacting",protein-coding,Animal
Yellow,21-28,25,1,X1,stanniocalcin 2,protein-coding,Animal
Red,21-28,27,1,17,nucleoredoxin,protein-coding,Animal
Red,13-20,17,1,5,glutamine--fructose-6-phosphate transaminase 1,protein-coding,Animal
Green,21-28,25,1,13,growth hormone releasing hormone receptor,protein-coding,Animal
Red,21-28,28,1,15,LUC7 like 3 pre-mRNA splicing factor,protein-coding,Animal
Yellow,13-20,15,1,3,adhesion G protein-coupled receptor A1,protein-coding,Animal
Yellow,13-20,15,1,14,myogenic factor 6,protein-coding,Animal
Green,21-28,21,1,X1,chymotrypsin like,protein-coding,Animal
Yellow,21-28,25,1,X1,cullin-associated NEDD8-dissociated protein 1-like,protein-coding,Animal
Yellow,13-20,20,1,2,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,protein-coding,Animal
Red,21-28,25,1,1,ATP binding cassette subfamily C member 5,protein-coding,Animal
Yellow,21-28,26,1,X1,inositol hexakisphosphate kinase 2,protein-coding,Animal
Red,21-28,22,1,8,oxysterol binding protein like 2,protein-coding,Animal
Yellow,05-Dec,7,1,21,cAMP regulated phosphoprotein 21,protein-coding,Animal
Yellow,13-20,17,1,7,synaptophysin like 2,protein-coding,Animal
Yellow,21-28,24,1,14,solute carrier family 17 member 8,protein-coding,Animal
Yellow,21-28,27,0,3,transmembrane protein 132A,protein-coding,Animal
Red,21-28,21,1,4,OTU deubiquitinase 6B,protein-coding,Animal
Yellow,13-20,14,1,6,glucose-6-phosphate dehydrogenase,protein-coding,Animal
Red,21-28,28,1,1,lysosomal associated membrane protein 3,protein-coding,Animal
Red,21-28,27,1,1,BAG cochaperone 2,protein-coding,Animal
Yellow,13-20,16,1,3,succinate dehydrogenase complex assembly factor 2,protein-coding,Animal
Red,13-20,16,1,11,granule associated Rac and RHOG effector 1,protein-coding,Animal
Green,05-Dec,10,1,2,"dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase-like",protein-coding,Animal
Red,21-28,22,1,2,"FYVE, RhoGEF and PH domain containing 4",protein-coding,Animal
Red,13-20,17,1,X5,mutS homolog 5,protein-coding,Animal
Red,21-28,28,1,X1,nuclear factor of activated T cells 3,protein-coding,Animal
Yellow,13-20,18,0,X5,C9orf72-SMCR8 complex subunit,protein-coding,Animal
Red,13-20,13,1,1,anaphase promoting complex subunit 1,protein-coding,Animal
Yellow,13-20,19,1,1,ATPase H+ transporting V1 subunit C2,protein-coding,Animal
Green,21-28,28,0,10,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",protein-coding,Animal
Yellow,13-20,20,1,X2,calnexin,protein-coding,Animal
Yellow,21-28,27,1,5,glycine amidinotransferase,protein-coding,Animal
Yellow,13-20,20,0,2,endoplasmic reticulum to nucleus signaling 2,protein-coding,Animal
Red,13-20,13,1,2,prickle planar cell polarity protein 1,protein-coding,Animal
Red,13-20,13,1,3,NAD synthetase 1,protein-coding,Animal
Yellow,21-28,23,1,3,metallophosphoesterase domain containing 2,protein-coding,Animal
Green,13-20,19,1,3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",protein-coding,Animal
Green,05-Dec,5,1,2,spectrin repeat containing nuclear envelope protein 1,protein-coding,Animal
Green,21-28,24,1,3,dickkopf WNT signaling pathway inhibitor 1,protein-coding,Animal
Yellow,21-28,23,1,4,enhancer of zeste 2 polycomb repressive complex 2 subunit,protein-coding,Animal
Yellow,13-20,14,0,4,G protein signaling modulator 2,protein-coding,Animal
Yellow,13-20,14,1,6,"cytochrome c oxidase subunit 7B, mitochondrial",protein-coding,Animal
Red,13-20,14,1,11,gasdermin A,protein-coding,Animal
Yellow,13-20,16,0,X1,zinc finger MYND-type containing 10,protein-coding,Animal
Green,13-20,19,1,2,SLX4 structure-specific endonuclease subunit,protein-coding,Animal
Yellow,13-20,17,1,5,"proteasome 26S subunit, non-ATPase 8",protein-coding,Animal
Yellow,13-20,16,1,18,cytochrome P450 4B1-like,protein-coding,Animal
Yellow,13-20,19,1,5,gap junction delta-2 protein-like,protein-coding,Animal
Yellow,21-28,26,1,5,Parkinsonism associated deglycase,protein-coding,Animal
Green,21-28,25,0,14,myogenic factor 5,protein-coding,Animal
Yellow,21-28,27,1,X1,lecithin-cholesterol acyltransferase,protein-coding,Animal
Yellow,21-28,26,1,X1,synaptoporin,protein-coding,Animal
Red,13-20,18,1,1,"alkB homolog 1, histone H2A dioxygenase",protein-coding,Animal
Yellow,21-28,22,0,1,signal induced proliferation associated 1 like 1,protein-coding,Animal
Yellow,13-20,14,1,11,sortilin related receptor 1,protein-coding,Animal
Yellow,13-20,17,1,X1,COPI coat complex subunit gamma 1,protein-coding,Animal
Red,13-20,16,1,19,solute carrier family 16 member 10,protein-coding,Animal
Green,21-28,21,1,8,ribosomal protein S21,protein-coding,Animal
Yellow,21-28,23,1,X2,eukaryotic translation initiation factor 4E binding protein 3,protein-coding,Animal
Red,13-20,15,1,7,ataxin 7 like 2,protein-coding,Animal
Yellow,13-20,15,0,14,nuclear transcription factor Y subunit beta,protein-coding,Animal
Yellow,13-20,19,1,X1,cell adhesion molecule L1 like,protein-coding,Animal
Yellow,13-20,18,0,4,leucine rich repeat containing 69,protein-coding,Animal
Red,21-28,22,1,1,methylcrotonoyl-CoA carboxylase 1,protein-coding,Animal
Red,21-28,23,1,1,"RAB23, member RAS oncogene family",protein-coding,Animal
Red,05-Dec,10,1,3,damage specific DNA binding protein 1,protein-coding,Animal
Green,13-20,20,1,11,metallothionein-4,protein-coding,Animal
Yellow,21-28,24,0,X1,ras homolog family member A,protein-coding,Animal
Yellow,13-20,13,1,Un,vomeronasal 1 receptor ornAnaV1R-ps4121 pseudogene,pseudo,Animal
Red,13-20,19,0,9,lysosomal protein transmembrane 4 alpha,protein-coding,Animal
Green,21-28,27,1,5,cell death inducing DFFA like effector a,protein-coding,Animal
Yellow,13-20,15,1,7,basic leucine zipper and W2 domains 1,protein-coding,Animal
Yellow,21-28,25,1,X1,NudC domain containing 2,protein-coding,Animal
Yellow,05-Dec,5,1,X1,contactin-3,protein-coding,Animal
Yellow,13-20,13,0,X5,Kruppel like factor 9,protein-coding,Animal
Red,05-Dec,6,1,X5,cell division cycle 37 like 1,protein-coding,Animal
Green,21-28,24,1,1,ribonucleotide reductase regulatory subunit M2,protein-coding,Animal
Yellow,05-Dec,6,1,10,interleukin 6 signal transducer,protein-coding,Animal
Green,05-Dec,10,1,X2,"testis expressed 264, ER-phagy receptor",protein-coding,Animal
Green,13-20,17,1,5,GA binding protein transcription factor subunit beta 1,protein-coding,Animal
Red,05-Dec,7,0,2,polo like kinase 1,protein-coding,Animal
Yellow,21-28,25,1,3,"actin, aortic smooth muscle-like",protein-coding,Animal
Yellow,21-28,26,1,4,tensin 3,protein-coding,Animal
Yellow,13-20,17,1,6,transient receptor potential cation channel subfamily C member 5,protein-coding,Animal
Yellow,21-28,28,1,7,potassium channel tetramerization domain containing 1,protein-coding,Animal
Red,13-20,13,1,6,POU class 3 homeobox 4,protein-coding,Animal
Yellow,13-20,16,1,17,myosin light chain 10,protein-coding,Animal
Yellow,13-20,15,1,X3,vomeronasal type-2 receptor 26-like,pseudo,Animal
Red,21-28,27,1,5,solute carrier family 45 member 1,protein-coding,Animal
Yellow,21-28,26,0,14,PTPRF interacting protein alpha 2,protein-coding,Animal
Red,21-28,25,1,X1,proteasome 20S subunit beta 10,protein-coding,Animal
Yellow,13-20,14,1,X2,BRCA1 associated protein 1,protein-coding,Animal
Yellow,13-20,17,1,3,"microtubule associated monooxygenase, calponin and LIM domain containing 2",protein-coding,Animal
Yellow,13-20,16,1,2,solute carrier family 5 member 1,protein-coding,Animal
Green,05-Dec,10,1,7,adenosylhomocysteinase like 1,protein-coding,Animal
Yellow,21-28,22,0,X1,RuvB like AAA ATPase 1,protein-coding,Animal
Yellow,13-20,15,1,19,major facilitator superfamily domain containing 4B,protein-coding,Animal
Yellow,21-28,26,0,8,YTH N6-methyladenosine RNA binding protein 1,protein-coding,Animal
Red,13-20,20,1,14,transmembrane protein 263,protein-coding,Animal
Yellow,21-28,26,1,6,ceramide kinase-like,protein-coding,Animal
Red,05-Dec,11,1,3,discs large MAGUK scaffold protein 5,protein-coding,Animal
Yellow,21-28,23,0,11,metallothionein-like,protein-coding,Animal
Yellow,21-28,28,1,X1,glutathione peroxidase 1,protein-coding,Animal
Yellow,05-Dec,10,1,1,muscular LMNA interacting protein,protein-coding,Animal
Yellow,21-28,25,0,13,ribonuclease 4,protein-coding,Animal
Green,13-20,16,1,4,ATPase H+ transporting V0 subunit d2,protein-coding,Animal
Red,05-Dec,8,1,1,phosphatidylinositol glycan anchor biosynthesis class X,protein-coding,Animal
Yellow,05-Dec,12,1,X1,cyclin G1,protein-coding,Animal
Yellow,05-Dec,10,1,X5,adenylate kinase 3,protein-coding,Animal
Yellow,21-28,27,1,1,mitochondrial ribosomal protein S22,protein-coding,Animal
Yellow,21-28,23,0,5,ubiquitin specific peptidase 8,protein-coding,Animal
Yellow,05-Dec,10,1,2,dynactin subunit 5,protein-coding,Animal
Yellow,21-28,25,1,3,cell cycle associated protein 1,protein-coding,Animal
Yellow,13-20,19,1,4,chloride channel CLIC like 1,protein-coding,Animal
Yellow,13-20,19,0,6,p21 (RAC1) activated kinase 3,protein-coding,Animal
Yellow,13-20,17,1,1,arylacetamide deacetylase,protein-coding,Animal
Yellow,13-20,15,1,X2,WW domain containing oxidoreductase,protein-coding,Animal
Red,05-Dec,7,1,15,vomeronasal 1 receptor ornAnaV1R-ps3644 pseudogene,pseudo,Animal
Red,21-28,27,1,5,protein tyrosine phosphatase non-receptor type 9,protein-coding,Animal
Yellow,21-28,26,1,X1,core histone macro-H2A.1,protein-coding,Animal
Red,05-Dec,7,1,5,arginine-glutamic acid dipeptide repeats,protein-coding,Animal
Yellow,21-28,24,1,X1,C3a anaphylatoxin chemotactic receptor-like,protein-coding,Animal
Red,05-Dec,5,0,5,methyltransferase like 4,protein-coding,Animal
Green,21-28,28,1,1,SNW domain containing 1,protein-coding,Animal
Yellow,05-Dec,11,1,3,ligand-dependent corepressor,protein-coding,Animal
Red,21-28,24,0,11,tectorin alpha,protein-coding,Animal
Green,05-Dec,6,1,10,POU class 4 homeobox 1,protein-coding,Animal
Yellow,13-20,13,0,X1,glutamine rich 1,protein-coding,Animal
Green,13-20,19,1,8,eukaryotic translation elongation factor 1 alpha 2,protein-coding,Animal
Green,21-28,25,1,1,neuroligin 1,protein-coding,Animal
Yellow,05-Dec,10,1,X2,ankyrin repeat and KH domain-containing protein 1-like,protein-coding,Animal
Red,13-20,20,1,14,PR/SET domain 4,protein-coding,Animal
Yellow,13-20,19,0,3,membrane spanning 4-domains A15,protein-coding,Animal
Red,21-28,28,1,6,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,protein-coding,Animal
Yellow,21-28,22,1,1,defective in cullin neddylation 1 domain containing 1,protein-coding,Animal
Yellow,13-20,18,1,8,RIPOR family member 3,protein-coding,Animal
Yellow,21-28,26,1,11,nucleoporin 93,protein-coding,Animal
Red,13-20,14,1,X1,ubiquitin specific peptidase 4,protein-coding,Animal
Red,21-28,21,0,1,tubulointerstitial nephritis antigen,protein-coding,Animal
Yellow,13-20,14,0,X5,RecQ mediated genome instability 1,protein-coding,Animal
Yellow,13-20,17,1,11,thioredoxin like 4B,protein-coding,Animal
Yellow,13-20,20,0,Un,cellular nucleic acid-binding protein,protein-coding,Animal
Green,13-20,19,1,X1,epithelial splicing regulatory protein 2,protein-coding,Animal
Yellow,21-28,27,1,X5,structural maintenance of chromosomes 5,protein-coding,Animal
Yellow,21-28,26,1,2,partner and localizer of BRCA2,protein-coding,Animal
Red,13-20,20,1,3,ankyrin repeat and BTB domain containing 2,protein-coding,Animal
Green,21-28,28,0,4,calmodulin regulated spectrin associated protein family member 2,protein-coding,Animal
Yellow,21-28,27,1,5,RING finger protein 122,protein-coding,Animal
Yellow,21-28,22,1,6,acyl-CoA synthetase long chain family member 4,protein-coding,Animal
Red,13-20,17,1,13,"RTF1 homolog, Paf1/RNA polymerase II complex component",protein-coding,Animal
Red,21-28,21,0,2,olfactory receptor 51I2-like,protein-coding,Animal
Green,21-28,21,0,15,vomeronasal 1 receptor ornAnaV1R3191,protein-coding,Animal
Yellow,21-28,28,1,19,pecanex 2,protein-coding,Animal
Yellow,21-28,22,1,X2,dynein axonemal heavy chain 1,protein-coding,Animal
Yellow,21-28,21,1,1,aarF domain containing kinase 1,protein-coding,Animal
Red,21-28,26,1,5,cadherin 19,protein-coding,Animal
Red,21-28,27,1,7,striatin interacting protein 1,protein-coding,Animal
Yellow,21-28,22,1,X1,inosine monophosphate dehydrogenase 2,protein-coding,Animal
Yellow,21-28,24,1,8,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2,protein-coding,Animal
Yellow,21-28,21,0,1,ATR serine/threonine kinase,protein-coding,Animal
Yellow,21-28,21,1,14,synapsin III,protein-coding,Animal
Yellow,21-28,28,1,6,"selenide, water dikinase 2",protein-coding,Animal
Green,13-20,19,1,8,activity dependent neuroprotector homeobox,protein-coding,Animal
Yellow,21-28,23,0,11,ADP ribosylation factor like GTPase 2 binding protein,protein-coding,Animal
Red,21-28,23,1,X1,ER membrane protein complex subunit 3,protein-coding,Animal
Yellow,13-20,16,0,5,"RAB12, member RAS oncogene family",protein-coding,Animal
Yellow,13-20,16,1,X5,G kinase anchoring protein 1,protein-coding,Animal
Red,21-28,21,1,11,dihydroorotate dehydrogenase (quinone),protein-coding,Animal
Red,21-28,28,1,Un,pre-mRNA-splicing factor ISY1 homolog,protein-coding,Animal
Yellow,13-20,13,1,15,acetylserotonin O-methyltransferase,protein-coding,Animal
Red,21-28,25,1,X1,histamine receptor H1,protein-coding,Animal
Green,21-28,25,1,X1,leukotriene B4 receptor 1-like,protein-coding,Animal
Red,13-20,15,1,X5,RNA terminal phosphate cyclase like 1,protein-coding,Animal
Yellow,13-20,20,1,1,COPI coat complex subunit beta 2,protein-coding,Animal
Green,21-28,22,1,10,solute carrier organic anion transporter family member 4C1,protein-coding,Animal
Yellow,13-20,16,1,2,NADH:ubiquinone oxidoreductase subunit AB1,protein-coding,Animal
Yellow,13-20,14,1,3,recombination activating 2,protein-coding,Animal
Red,13-20,17,1,4,ADAMTS like 2,protein-coding,Animal
Yellow,13-20,15,1,7,SS18 subunit of BAF chromatin remodeling complex,protein-coding,Animal
Red,13-20,17,1,17,flotillin 2,protein-coding,Animal
Yellow,21-28,27,0,13,chromosome 13 C14orf93 homolog,protein-coding,Animal
Yellow,21-28,28,1,5,cation channel sperm associated auxiliary subunit gamma,protein-coding,Animal
Yellow,21-28,28,1,-,vomeronasal 1 receptor ornAnaV1R-ps3718 pseudogene,pseudo,Animal
Yellow,21-28,23,1,4,coiled-coil and C2 domain containing 2A,protein-coding,Animal
Green,21-28,25,1,X1,xanthine dehydrogenase/oxidase-like,protein-coding,Animal
Red,13-20,17,1,5,TNF receptor superfamily member 9,protein-coding,Animal
Yellow,13-20,13,1,14,protein tyrosine phosphatase receptor type Q,protein-coding,Animal
Yellow,13-20,16,1,5,NDC80 kinetochore complex component,protein-coding,Animal
Yellow,21-28,21,1,15,zinc finger protein 207,protein-coding,Animal
Red,13-20,15,1,Un,vomeronasal 1 receptor ornAnaV1R-ps4029 pseudogene,pseudo,Animal
Red,21-28,25,1,X1,plexin D1,protein-coding,Animal
Yellow,13-20,14,1,11,tubulin folding cofactor E like,protein-coding,Animal
Red,05-Dec,7,0,X1,NADH:ubiquinone oxidoreductase complex assembly factor 3,protein-coding,Animal
Red,21-28,28,1,8,myelin transcription factor 1,protein-coding,Animal
Yellow,21-28,22,1,1,plastin 1,protein-coding,Animal
Yellow,21-28,28,0,6,NHS like 2,protein-coding,Animal
Yellow,21-28,22,1,7,"7,8-dihydro-8-oxoguanine triphosphatase pseudogene",pseudo,Animal
Green,05-Dec,10,1,6,Kruppel like factor 8,protein-coding,Animal
Red,13-20,15,1,14,LARGE xylosyl- and glucuronyltransferase 1,protein-coding,Animal
Red,13-20,16,1,15,vomeronasal 1 receptor ornAnaV1R-ps4110 pseudogene,pseudo,Animal
Red,13-20,19,0,1,ATPase phospholipid transporting 11B (putative),protein-coding,Animal
Yellow,05-Dec,8,1,8,spalt like transcription factor 4,protein-coding,Animal
Yellow,21-28,24,1,11,docking protein 4,protein-coding,Animal
Yellow,21-28,28,1,2,copine 8,protein-coding,Animal
Yellow,21-28,22,1,1,family with sequence similarity 83 member B,protein-coding,Animal
Yellow,21-28,27,1,X1,phospholipase A2 group XV,protein-coding,Animal
Yellow,13-20,17,1,X5,MAM domain containing 2,protein-coding,Animal
Yellow,13-20,17,1,1,retinol binding protein 2,protein-coding,Animal
Yellow,13-20,18,1,3,leucine rich repeat containing 4C,protein-coding,Animal
Yellow,21-28,28,1,2,estrogen receptor,protein-coding,Animal
Yellow,13-20,17,1,11,CDK5 regulatory subunit associated protein 3,protein-coding,Animal
Green,13-20,13,1,21,calpain 15,protein-coding,Animal
Yellow,13-20,13,0,4,F-box and WD repeat domain containing 2,protein-coding,Animal
Red,13-20,18,1,7,zinc finger protein 704,protein-coding,Animal
Yellow,21-28,21,1,X1,protein serine kinase H1,protein-coding,Animal
Red,21-28,22,1,11,NXPE family member 4-like,protein-coding,Animal
Red,21-28,22,1,15,tektin 3,protein-coding,Animal
Yellow,05-Dec,9,0,3,Rho GTPase activating protein 19,protein-coding,Animal
Red,21-28,22,0,2,stromal interaction molecule 1,protein-coding,Animal
Yellow,13-20,15,0,10,ORC ubiquitin ligase 1,protein-coding,Animal
Yellow,21-28,21,0,8,DnaJ heat shock protein family (Hsp40) member C5,protein-coding,Animal
Red,13-20,14,1,1,transient receptor potential cation channel subfamily C member 1,protein-coding,Animal
Red,21-28,28,1,14,ETS transcription factor ELK3,protein-coding,Animal
Yellow,21-28,23,1,-,vomeronasal 1 receptor ornAnaV1R-ps4111 pseudogene,pseudo,Animal
Red,21-28,25,1,10,fibroblast growth factor 5,protein-coding,Animal
Yellow,13-20,20,1,8,zinc finger protein 217,protein-coding,Animal
Red,21-28,22,1,2,arginase 1,protein-coding,Animal
Yellow,21-28,21,1,1,GDNF family receptor alpha like,protein-coding,Animal
Yellow,21-28,22,1,X5,"XPA, DNA damage recognition and repair factor",protein-coding,Animal
Red,13-20,15,1,3,cyclin J,protein-coding,Animal
Yellow,05-Dec,7,0,1,protein tyrosine phosphatase 4A1,protein-coding,Animal
Red,13-20,14,1,12,glycoprotein M6A,protein-coding,Animal
Yellow,21-28,27,1,X2,RasGEF domain family member 1C,protein-coding,Animal
Red,21-28,23,1,2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,protein-coding,Animal
Green,13-20,15,0,4,family with sequence similarity 163 member B,protein-coding,Animal
Yellow,21-28,27,1,5,MAK16 homolog,protein-coding,Animal
Green,21-28,28,0,5,enolase 1,protein-coding,Animal
Yellow,21-28,22,1,1,ropporin-1,protein-coding,Animal
Yellow,21-28,26,0,X2,YJU2 splicing factor homolog,protein-coding,Animal
Red,21-28,24,0,X1,coiled-coil domain containing 66,protein-coding,Animal
Yellow,05-Dec,9,1,5,urotensin 2,protein-coding,Animal
Yellow,13-20,19,1,11,NXPE family member 1-like,protein-coding,Animal
Red,13-20,20,1,15,vomeronasal 1 receptor ornAnaV1R3234,protein-coding,Animal
Yellow,21-28,21,1,1,neurexin 3,protein-coding,Animal
